,t1-t2-LSUB,t1-t2-LCA,t1-t2-LDG
196750,2.0126052,2.0609124,1.6242979
197550,2.0041943,1.9159231,1.5820577
198249,2.2990913,2.084046,1.7469442
198350,1.9412577,2.0160918,1.6941547
198451,1.9722291,1.9142292,1.603796
198653,1.9672809,2.0398095,1.7072077
198855,2.0144787,1.9585202,1.6239855
199150,2.100772,2.1139379,1.7668115
199453,2.0277214,1.9182243,1.6254869
200008,1.8919291,1.9047875,1.5835187
200109,1.7502,1.8638697,1.5831797
200311,2.1966515,1.9856985,1.5630686
200614,2.0164802,1.9475768,1.7629651
200917,2.1876166,2.1712437,1.7564285
201111,2.1161318,1.9860046,1.5554047
201414,1.7302626,1.8493004,1.5501006
201818,1.8482401,1.8717548,1.6121817
202113,2.0585287,2.088298,1.7388201
202719,2.0430427,1.9682072,1.6556972
203418,1.9595872,2.0168626,1.6241882
203923,2.0465002,1.9618508,1.6916671
204016,1.9500285,1.9705473,1.6328049
204319,1.9739386,2.039834,1.6574081
204420,1.9263928,1.9846553,1.631894
204622,2.2436016,2.0380816,1.723091
205119,1.9850302,2.0044641,1.7083149
205220,2.0454285,2.0091662,1.660195
205725,1.86315,1.7961485,1.5666819
206222,1.9845304,2.105925,1.7216132
207426,2.262385,2.026403,1.6414393
208024,2.013434,2.0197213,1.6921949
208125,1.989731,1.846658,1.4832661
208226,1.8694236,1.9171071,1.5527705
208327,2.0897257,2.1185572,1.7083049
209127,2.0072274,1.9924067,1.7764589
209228,1.8912911,1.8885928,1.6586103
209329,1.8204203,1.9285642,1.6650591
209834,2.0853567,1.9578753,1.6645714
209935,1.8562865,1.8228056,1.56159
210011,2.1342382,1.8855553,1.6103544
210415,1.8904731,1.9241618,1.6004891
210617,1.9754344,2.015799,1.6597272
211114,2.287754,2.0943732,1.6301743
211215,2.1445215,2.0535123,1.5862727
211316,1.9833608,1.8781602,1.6191392
211417,1.942061,1.8999366,1.5631398
211922,2.0249085,1.898267,1.5874326
212015,2.0413609,2.0681725,1.6847416
212217,1.8112547,1.8906951,1.5864578
212318,2.0786355,1.9075389,1.6207087
212419,2.023511,2.0547495,1.6781441
212823,1.9661822,1.8995864,1.5552043
213421,2.313057,2.1380286,1.7779706
214019,1.8796797,1.8681684,1.6487159
214221,2.0264606,2.0817919,1.7135768
214423,2.294363,2.2106066,1.8761787
214524,1.8941061,1.8542783,1.5865366
214726,1.9690017,1.9178176,1.6433523
217126,2.0001204,1.8963593,1.6285783
217429,1.9536521,1.9555007,1.5626818
220721,2.2246892,2.0956273,1.7224219
221319,2.223175,2.0234966,1.5928276
223929,2.240314,2.3737977,1.9085759
227432,2.1424499,2.0655923,1.6441789
228434,1.8708975,1.9152372,1.5943139
231928,2.053506,1.925395,1.5703986
233326,2.2665584,2.1547875,1.7627053
236130,1.9326798,1.9864364,1.6449053
237334,2.1457512,2.0360427,1.6999671
239944,1.8640097,1.9536405,1.6577377
245333,1.8623343,1.8920797,1.583972
246133,1.8033881,1.8489738,1.5778279
248339,2.0045547,2.0345216,1.7184503
249947,1.9824991,2.011128,1.644525
250932,1.9211597,1.9719938,1.6705195
251833,2.1908476,2.173489,1.678118
255639,1.8911009,1.8418735,1.4903069
256540,2.1069226,1.9623874,1.607407
257542,1.9797518,1.9778349,1.6885097
257845,1.8948808,1.8303838,1.5499923
263436,2.098588,2.0312066,1.6962576
268749,2.1527324,2.1655807,1.8830671
268850,1.9294902,1.7986913,1.5130017
275645,1.8682618,1.7896222,1.5255109
280739,1.856628,1.834549,1.5626429
280941,2.0541205,2.0361824,1.617079
283543,2.1120448,2.0914047,1.7879425
285345,1.9180243,2.0992186,1.584959
285446,2.008436,1.9782264,1.5640734
286650,2.0549474,1.9948466,1.7786676
287248,2.2730575,2.2647111,1.8544295
289555,1.9397779,1.9136953,1.6015842
290136,1.8596357,1.9347188,1.644903
293748,2.0709689,1.9454085,1.6196162
295146,2.400684,2.279041,1.8125141
297655,2.0682425,1.8520782,1.6507312
298455,2.2463193,2.1334958,1.778858
299154,2.0595686,2.0597453,1.7256799
300618,2.1921797,2.2274013,1.6389587
303119,2.2613554,2.4002295,2.0217264
303624,2.0916018,2.1070113,1.7358443
304020,2.2034087,2.011369,1.7113321
304727,2.124973,2.1436834,1.7971015
305830,2.1453395,2.0667343,1.7819291
308129,1.9272463,1.9855397,1.6474121
308331,2.0531077,1.933677,1.5611473
311320,1.8951731,1.9699266,1.6552032
316633,1.7583945,1.8149931,1.4687788
316835,1.9533737,1.9333993,1.6857533
317332,1.8890815,2.1204681,1.727598
318637,2.2315361,2.2329776,1.8716462
320826,2.0144858,2.039989,1.6700637
321323,2.1156836,2.1857436,1.7925546
322224,2.0160196,1.8992391,1.5675744
329440,2.0620465,1.9342897,1.6644061
330324,1.8267045,1.9108882,1.5489912
333330,1.9966629,1.9323497,1.6484671
336841,2.1539974,1.9681755,1.6581304
339847,1.8855765,1.8956928,1.624428
341834,1.9133954,1.8694403,1.5057865
346945,1.8631456,1.8016467,1.6548703
348545,2.1273637,2.09205,1.7330021
352132,2.189985,2.0494633,1.6896839
352738,2.1600966,2.134671,1.7358189
353740,2.0105371,2.049876,1.7272778
358144,2.0819604,2.1562753,1.7170919
361234,2.0496655,1.9152831,1.5826532
361941,1.9033134,2.200273,1.683126
365343,2.0921164,1.987714,1.6754286
366042,1.9031042,1.8958476,1.516314
366446,2.131944,1.9435296,1.6375849
377451,1.8849072,1.7981294,1.5850074
378857,1.889085,1.9787835,1.694017
379657,1.9048214,1.8875766,1.5572543
380036,2.2006326,2.0231934,1.6998413
381038,1.9239801,2.0143676,1.540238
381543,1.9478354,1.9366968,1.6232411
382242,2.0331025,2.049828,1.6960337
386250,1.8550708,1.9607435,1.5853109
387959,2.1527574,2.201448,1.7444572
393247,2.0954604,2.21743,1.6785964
393550,2.05793,2.2050054,1.8029822
395251,1.9874563,2.0665216,1.688337
395756,1.9698248,1.7951946,1.5921295
395958,1.9427571,1.9927968,1.6519324
397154,1.877104,1.8157771,1.5246367
397760,1.9768975,2.1840434,1.8149763
397861,2.4048076,2.313788,1.8803067
406432,2.1310039,1.9761796,1.5575249
406836,2.013206,2.0607367,1.6940068
412528,1.7969425,1.7808659,1.549991
414229,2.0274677,1.9276911,1.4205065
422632,1.8181012,1.9199895,1.6361611
424939,2.06622,2.2606056,1.803659
432332,1.9057182,1.9239659,1.6349833
436845,1.9834665,1.9851698,1.660386
441939,1.8402607,1.9415547,1.6127756
445543,2.1632748,2.243937,1.8325348
448347,1.9359131,1.8996236,1.5622799
453441,2.0903568,2.0023034,1.5350778
456346,2.004342,1.9887544,1.7010212
459453,2.0079682,2.0892444,1.7298019
467351,1.7841297,1.9254184,1.585449
475855,2.0812082,2.1774848,1.693435
479762,1.9749594,2.1578963,1.7335603
480141,1.9914283,2.0582623,1.7332861
